Month,Monthly_Inflation_%
2019-01,0.024207986507374102
2019-02,-0.3324468085106336
2019-03,0.33355570380253496
2019-04,1.928191489361697
2019-05,1.8264840182648179
2019-06,0.7687379884689483
2019-07,1.9071837253655355
2019-08,1.5595757953836609
2019-09,1.1056511056510843
2019-10,1.5795868772782384
2019-11,0.4186602870813516
2019-12,-10.444550327575941
2020-01,12.128201240193782
2020-02,-0.11862396204032066
2020-03,0.7125890736342066
2020-04,1.1792452830188704
2020-05,1.631701631701632
2020-06,1.8922018348623837
2020-07,1.0129431626336505
2020-08,1.1699164345403856
2020-09,1.156387665198233
2020-10,1.7964071856287456
2020-11,1.81818181818183
2020-12,0.7352941176470562
2021-01,1.3034410844629862
2021-02,0.30880082346886883
2021-03,1.2314007183170883
2021-04,1.723264064875818
2021-05,0.9965122072745469
2021-06,2.2693635915145727
2021-07,0.5788712011577379
2021-08,0.3357314148680901
2021-09,1.5296367112810794
2021-10,2.0715630885122405
2021-11,2.7675276752767486
2021-12,12.836624775583472
2022-01,7.995226730310256
2022-02,3.462246777163891
2022-03,4.414382342470646
2022-04,4.739174906239341
2022-05,3.743489583333326
2022-06,3.3260119234389762
2022-07,3.6744609778317505
2022-08,2.899824253075578
2022-09,2.5903785937944734
2022-10,3.301886792452846
2022-11,2.068224550094011
2022-12,2.078947368421047
2023-01,7.9659706109822315
2023-02,1.8863419293218664
2023-03,2.038903210686671
2023-04,2.9857602204869105
2023-05,3.902765388046392
2023-06,4.163983687486583
2023-07,9.622913661652577
2023-08,8.496240601503757
2023-09,5.492030492030486
2023-10,3.6294958121202203
2023-11,2.4088748019017503
2023-12,2.228412256267398
