Date,Avg Temperature (C),Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2020-01,7.290322580645161,69.48387096774194,19.322580645161292,119.3
2020-02,7.931034482758621,69.89655172413794,18.96551724137931,67.7
2020-03,10.129032258064516,69.87096774193549,16.451612903225808,69.4
2020-04,11.366666666666667,63.9,19.166666666666668,54.9
2020-05,16.838709677419356,62.96774193548387,13.451612903225806,67.8
2020-06,22.1,61.56666666666667,11.933333333333334,69.6
2020-07,24.870967741935484,65.7741935483871,20.516129032258064,2.9
2020-08,25.193548387096776,62.45161290322581,20.0,3.3000000000000003
2020-09,23.7,64.16666666666667,18.966666666666665,9.7
2020-10,20.35483870967742,61.83870967741935,11.935483870967742,65.1
2020-11,13.466666666666667,66.56666666666666,18.966666666666665,21.8
2020-12,11.612903225806452,72.09677419354838,17.64516129032258,29.8
